date,l1_category,l1_category_id,l2_category,l2_category_id,store_id,variant_id,variant_name,group_id,selling_price,mrp,in_stock,inventory,is_sponsored,image_url,brand_id,brand
2025-07-25,Munchies,1237,Munchies Gift Packs,1694,37740,495576,4700BC Nutty Tuxedo Chocolate Popcorn Gift Pack,1175680,499,499,1,2,0,https://cdn.grofers.com/da/cms-assets/cms/product/b849c910-84e4-46ca-a51c-bb0e3e3232f3.png,4700BC,4700BC
2025-07-25,Munchies,1237,Munchies Gift Packs,1694,37740,570852,GO DESI Fun Rakhi Gift Pack,2196211,512,699,1,1,0,https://cdn.grofers.com/da/cms-assets/cms/product/d3912819-f44f-4ec8-8b01-f264fa1fb3e1.png,GO DESI,GO DESI
2025-07-25,Munchies,1237,Munchies Gift Packs,1694,37740,633249,Beyond Snack Kerala Banana Chips,2173134,80,80,1,3,0,https://cdn.grofers.com/da/cms-assets/cms/product/49a34af6-c6f0-4f66-81c6-de20fd08cb0e.png,Beyond Snack,Beyond Snack
2025-07-25,Munchies,1237,Munchies Gift Packs,1694,37740,534300,Desi Ghee Dryfruit Besan Laddu by Unibic Swaadesi,774246,101,230,1,2,0,https://cdn.grofers.com/da/cms-assets/cms/product/575b8952-08bd-46a5-8495-ef880cc6aacb.png,Unibic Swaadesi,Unibic Swaadesi
2025-07-25,Munchies,1237,Munchies Gift Packs,1694,37740,424025,4700BC Nutty Tuxedo Chocolate Popcorn,482030,250,250,1,2,0,https://cdn.grofers.com/da/cms-assets/cms/product/e1bc109c-dae6-4dca-990b-bdab4ebfef65.png,4700BC,4700BC
2025-07-25,Munchies,1237,Munchies Gift Packs,1694,37740,680953,Omay Foods Foods Rakhi Gift Pack with Rakhi & Roli-Chawal,2181486,499,750,1,1,0,https://cdn.grofers.com/da/cms-assets/cms/product/eb97ed7a-2fb5-42b2-83ea-94d676b5d8f4.png,Omay Foods,Omay Foods
2025-07-25,Munchies,1237,Munchies Gift Packs,1694,37740,617464,Crax Namkeen Snacks Party Combo,2151204,72,90,1,5,0,https://cdn.grofers.com/da/cms-assets/cms/product/f9db696b-896b-46db-a05c-88e3929052fd.png,Crax,Crax
2025-07-25,Munchies,1237,Munchies Gift Packs,1694,37740,496308,"Open Secret Cookies, Brownie & Dry Fruits Gift Pack",1490480,329,350,1,1,0,https://cdn.grofers.com/da/cms-assets/cms/product/e468ef7b-6194-448b-a3f8-dbbab26f86d8.png,Open Secret,Open Secret
2025-07-25,Munchies,1237,Munchies Gift Packs,1694,37740,480400,4700BC Himalayan Salt Caramel Popcorn,598505,225,225,1,2,0,https://cdn.grofers.com/da/cms-assets/cms/product/cdaeeb46-63cd-44d5-a6d5-0a14687bb366.png,4700BC,4700BC
2025-07-25,Munchies,1237,Bhujia & Mixtures,1178,37740,524535,Let's Try Namkeen Combo,744169,81,90,1,11,1,https://cdn.grofers.com/da/cms-assets/cms/product/46ee6575-38de-49b6-98d4-53d9a158a564.png,Let's Try,Let's Try
2025-07-25,Munchies,1237,Bhujia & Mixtures,1178,37740,19266,Haldiram's Bhujia,1910541,120,120,1,22,0,https://cdn.grofers.com/da/cms-assets/cms/product/405265f1-3c53-4c52-b39d-bdc26a83e6f6.png,Haldiram's,Haldiram's
2025-07-25,Munchies,1237,Bhujia & Mixtures,1178,37740,11142,Haldiram's Fatafat Bhelpuri,1914092,40,40,1,7,0,https://cdn.grofers.com/da/cms-assets/cms/product/87af206e-52d3-4f1d-a66c-40fb64803f7f.png,Haldiram's,Haldiram's
2025-07-25,Munchies,1237,Bhujia & Mixtures,1178,37740,19274,Haldiram's Bhelpuri / Bhelpuri,1914143,55,55,1,17,0,https://cdn.grofers.com/da/cms-assets/cms/product/acb8bea9-c0b4-4064-a823-502cd11a0785.png,Haldiram's,Haldiram's
2025-07-25,Munchies,1237,Bhujia & Mixtures,1178,37740,495431,Let's Try Lite Multigrain Mixture Namkeen,1914594,108,120,1,4,1,https://cdn.grofers.com/da/cms-assets/cms/product/5f7cfecb-5add-4369-97d5-f155f434b882.png,Let's Try,Let's Try
2025-07-25,Munchies,1237,Bhujia & Mixtures,1178,37740,446887,Bikano All Time Mixture Namkeen,464926,69,70,1,10,0,https://cdn.grofers.com/da/cms-assets/cms/product/e7c73d97-38f8-4c17-984b-55f6f146e275.png,Bikano,Bikano
